Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Konfiguracja - Ikony zdarzeń: access restricted to local administrator;;;QA\SVCloud;QA\SVCloud\Konfiguracja;Medium;justyna.biernacka@softvig.pl;"User is logged in as a non-administrator (e.g. doradca/mistrz warsztatu)"
;Go to menu: Konfiguracja systemowa -> Planowanie Serwisu -> Serwis.;'Serwis' section is displayed.;;;;;
;Verify if 'Ikony zdarzeń' menu item is NOT visible/accessible for non-administrator user.;'Ikony zdarzeń' is not visible.;;;;;
;Log out and log in as Local Administrator.;User is logged in.;;;;;
;Go to menu: Konfiguracja systemowa -> Planowanie Serwisu -> Serwis.;'Serwis' section is displayed.;;;;;
;Verify if 'Ikony zdarzeń' menu item is visible directly under 'Cechy napraw'.;It displays correctly.;;;;;
;Click 'Ikony zdarzeń'.;'Ikony zdarzeń' page is loaded.;;;;;
;End of test.;;;;;;
Konfiguracja - Ikony zdarzeń: page layout;;;QA\SVCloud;QA\SVCloud\Konfiguracja;Medium;justyna.biernacka@softvig.pl;"User is logged in as Local Administrator"
;Go to menu: Konfiguracja systemowa -> Planowanie Serwisu -> Serwis -> Ikony zdarzeń.;'Ikony zdarzeń' page is loaded.;;;;;
;"Verify top panel of the page:
- button: 'Dodaj'
- button: 'Wyczyść filtry'";It displays correctly.;;;;;
;"Verify columns in page layout:
- Operacje
- Zdarzenie
- Widoczne?
- Rodzaj zasobu
- Symbol
- Kolor
- Firma
- Lokalizacja
- Instancja
- Rodzaj profilu
- Profil";It displays correctly.;;;;;
;Verify if column 'Kolor' displays graphical colour visualization (not only text/code).;It displays correctly.;;;;;
;Verify if column 'Widoczne?' displays value as Tak/Nie.;It displays correctly.;;;;;
;Verify if column 'Operacje' contains 'Edytuj' and 'Usuń' buttons for each row.;It displays correctly.;;;;;
;End of test.;;;;;;
Konfiguracja - Ikony zdarzeń: add new event form layout;;;QA\SVCloud;QA\SVCloud\Konfiguracja;Medium;justyna.biernacka@softvig.pl;"User is logged in as Local Administrator
'Ikony zdarzeń' page is loaded"
;Click 'Dodaj'.;Pop-up window (edit/add event) is displayed.;;;;;
;"Verify form fields:
- Zdarzenie
- Widoczny (Tak/Nie)
- Rodzaj zasobu (drop-down list)
- Symbol (non-editable)
- Kolor ikony (colour picker)
- Priorytet/kolejność wyświetlania";It displays correctly.;;;;;
;"Verify parameter overloading section (analogous to system parameters):
- Firma
- Lokalizacja
- Instancja
- Rodzaj profilu
- Profil";It displays correctly.;;;;;
;"Verify items in 'Rodzaj zasobu' drop-down list:
- Doradca serwisowy
- Mechanik (serwis mechaniczny)
- Pracownik Door2Door
- Stanowisko";It displays correctly.;;;;;
;Verify if field 'Symbol' is non-editable and pre-filled automatically with the default icon assigned to the event.;It displays correctly.;;;;;
;Verify if field 'Kolor ikony' is pre-filled automatically with a default value.;It displays correctly.;;;;;
;Click on 'Kolor ikony' field to open colour picker.;Colour picker modal window is displayed.;;;;;
;"Verify colour picker modal:
- basic/default (producer) colours available
- option to define custom colour precisely";It displays correctly.;;;;;
;End of test.;;;;;;
Konfiguracja - Ikony zdarzeń: add new event - mandatory fields validation;;;QA\SVCloud;QA\SVCloud\Konfiguracja;Medium;justyna.biernacka@softvig.pl;"User is logged in as Local Administrator
'Ikony zdarzeń' page is loaded"
;Click 'Dodaj'.;Pop-up window (add event) is displayed.;;;;;
;Click 'Zapisz' without filling in any fields.;Warning message occurs: 'Proszę poprawić błędy w formularzu';;;;;
;"Verify if mandatory fields are marked with red icon:
- Zdarzenie
- Widoczny
- Kolor";It displays correctly.;;;;;
;Fill in all mandatory fields and click 'Zapisz'.;Pop-up window is closed.;;;;;
;Verify if the new event is visible on the events list.;New event is visible on the list.;;;;;
;End of test.;;;;;;
Konfiguracja - Ikony zdarzeń: add new event with parameter overloading;;;QA\SVCloud;QA\SVCloud\Konfiguracja;Medium;justyna.biernacka@softvig.pl;"User is logged in as Local Administrator
'Ikony zdarzeń' page is loaded
At least one Firma, Lokalizacja and Instancja are available in the system"
;Click 'Dodaj'.;Pop-up window (add event) is displayed.;;;;;
;Fill in mandatory fields (Zdarzenie, Widoczny, Kolor).;Fields are filled in.;;;;;
;Select specific 'Rodzaj zasobu': Doradca serwisowy.;Value is selected.;;;;;
