Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Planer Serwisu - unconfirmed parts icon: display logic;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' = Wymagane
Parts confirmation has NOT been performed (no entry in SpRepair.SpRepairPartsConfirmation)"
;Go to calendar view (BOK or Warsztat) with the task assigned to the repair.;Calendar page is displayed with the task visible.;;;;;
;Verify if 'Części niepotwierdzone' icon (box-open) is displayed on the task.;Icon is displayed on the task.;;;;;
;Hover over the icon to verify the tooltip/label.;Tooltip shows 'Części niepotwierdzone'.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: hide logic (parts confirmed);;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' = Wymagane
Parts confirmation has been performed (entry exists in SpRepair.SpRepairPartsConfirmation)"
;Go to calendar view (BOK or Warsztat) with the task assigned to the repair.;Calendar page is displayed with the task visible.;;;;;
;Verify if 'Części niepotwierdzone' icon is NOT displayed on the task.;Icon is not displayed.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: not displayed when parts not required;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' different than Wymagane (e.g. Niewymagane)"
;Go to calendar view (BOK or Warsztat) with the task assigned to the repair.;Calendar page is displayed with the task visible.;;;;;
;Verify if 'Części niepotwierdzone' icon is NOT displayed on the task.;Icon is not displayed.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: real-time display after event occurs;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' = Wymagane
Parts confirmation has been performed (icon is currently hidden)"
;Verify if 'Części niepotwierdzone' icon is NOT displayed on the task (initial state).;Icon is not displayed.;;;;;
;Without refreshing the page, cofnij potwierdzenie części for the repair (via repair context/header).;Parts confirmation has been withdrawn.;;;;;
;Without refreshing the page, verify if 'Części niepotwierdzone' icon appears automatically on the task (signaller).;Icon is displayed automatically, no manual refresh needed.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: real-time hide after confirmation;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' = Wymagane
Parts confirmation has NOT been performed (icon is currently displayed)"
;Verify if 'Części niepotwierdzone' icon is displayed on the task (initial state).;Icon is displayed.;;;;;
;Without refreshing the page, potwierdź części for the repair (via repair context/header).;Parts confirmation has been performed.;;;;;
;Without refreshing the page, verify if 'Części niepotwierdzone' icon disappears automatically from the task (signaller).;Icon is hidden automatically, no manual refresh needed.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: field 'Części' changed from Wymagane to Niewymagane;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' = Wymagane
Parts confirmation has NOT been performed (icon is currently displayed)"
;Verify if 'Części niepotwierdzone' icon is displayed on the task (initial state).;Icon is displayed.;;;;;
;Change field 'Części' from Wymagane to Niewymagane (via repair context/header).;Field has been changed.;;;;;
;Without refreshing the page, verify if 'Części niepotwierdzone' icon disappears automatically from the task.;Icon is hidden automatically.;;;;;
;End of test.;;;;;;
